Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Sunday,31-50,Unknown,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Other,Slight Injury,Night
Monday,Over 51,Male,High school,Owner,Above 10yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,2,No priority to vehicle,Slight Injury,Afternoon
Sunday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,3,No distancing,Slight Injury,Evening
Saturday,18-30,Male,Above high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,No distancing,Slight Injury,Night
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Night
Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Morning
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,2,No priority to pedestrian,Slight Injury,Morning
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,18-30,Male,Above high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,3,No distancing,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Friday,Over 51,Unknown,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to pedestrian,Serious Injury,Night
Monday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Serious Injury,Night
Monday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,Getting off the vehicle improperly,Serious Injury,Night
Wednesday,18-30,Male,Junior high school,Employee,unknown,Turbo,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,3,Going straight,3,Driving carelessly,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,3,Going straight,3,No priority to vehicle,Slight Injury,Evening
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the right,Serious Injury,Night
Monday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,  Recreational areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Afternoon
Tuesday,Unknown,Female,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Friday,18-30,Unknown,Above high school,Owner,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Other,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Reversing,3,Changing lane to the left,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Collision with pedestrians,2,1,Going straight,2,No priority to vehicle,Slight Injury,Evening
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Evening
Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,3,No distancing,Serious Injury,Morning
Wednesday,Over 51,Male,High school,Owner,2-5yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Tuesday,Unknown,Female,Junior high school,Unknown,Below 1yr,Public (13?45 seats),Owner,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving at high speed,Slight Injury,Night
Tuesday,Over 51,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner, Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Overtaking,Slight Injury,Night
Thursday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Unknown,3,Other,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Moving Backward,3,Changing lane to the left,Slight Injury,Morning
Thursday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,3,Changing lane to the left,Slight Injury,Morning
Wednesday,31-50,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,3,Moving Backward,Slight Injury,Morning
Tuesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,3,Changing lane to the left,Serious Injury,Afternoon
Friday,18-30,Male,High school,Employee,1-2yr,Motorcycle,Governmental, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Reversing,3,Other,Serious Injury,Night
Friday,18-30,Male,High school,Employee,2-5yr,Lorry (11?40Q),Owner,School areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,2,Moving Backward,Serious Injury,Night
Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,2,No distancing,Serious Injury,Night
Tuesday,Over 51,Male,Above high school,Employee,2-5yr,Automobile,Owner, Outside rural areas,Two-way (divided with broken lines road marking),Escarpments,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Tuesday,Unknown,Female,Elementary school,Employee,1-2yr,Other,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Tuesday,Unknown,Female,Elementary school,Employee,5-10yr,Other,Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,2,No priority to pedestrian,Slight Injury,Morning
Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,2,Getting off the vehicle improperly,Slight Injury,Morning
Tuesday,18-30,Unknown,High school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Night
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Tuesday,31-50,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,3,No priority to pedestrian,Slight Injury,Evening
Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,3,1,Going straight,3,Moving Backward,Slight Injury,Morning
Monday,18-30,Female,High school,Employee,1-2yr,Automobile,Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,3,Driving carelessly,Serious Injury,Morning
Friday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,2,Driving to the left,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with mild grade and flat terrain,Y Shape,Other,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Moving Backward,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,3,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Morning
Thursday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Getting off the vehicle improperly,Slight Injury,Morning
